transaction_date,operator_name,transaction_type,transaction_amount,customer_age,customer_gender,customer_location,service_plan,data_usage_(mb),call_duration_(min),sms_sent,internet_package,transaction_status
2023-11-21 06:56:22,Airtel,Airtime Purchase,7829.5,47.0,male,Kaduna,Postpaid,3552.15,243.68,16.0,Weekly,Pending
2024-02-16 13:58:21,9mobile,Airtime Purchase,3042.55,51.0,other,Minna,Prepaid,4326.2,155.88,54.0,Daily,Completed
2024-05-06 13:19:22,Glo,Airtime Purchase,477.0,20.0,female,Minna,Postpaid,3298.0,212.0,38.0,Weekly,Pending
2024-06-13 17:42:45,MTN,Airtime Purchase,13658.6,33.0,female,Gombe,Postpaid,738.0,238.7,55.0,Daily,Pending
2023-12-26 16:59:06,MTN,Airtime Purchase,19753.0,47.0,female,Lagos,Prepaid,915.74,121.0,8.0,Monthly,Pending
2023-11-16 02:39:00,Glo,Bill Payment,8218.19,63.0,female,Ilorin,Postpaid,1358.3,95.6,22.0,Monthly,Pending
2024-01-07 23:57:55,Glo,Airtime Purchase,2662.21,23.0,female,Sokoto,Prepaid,3867.79,6.0,14.0,Weekly,Completed
1984-05-05 03:49:39,9mobile,Data Purchase,18142.8,67.0,other,Port Harcourt,Postpaid,4680.0,256.89,9.0,Weekly,Completed
2023-11-17 21:02:09,MTN,Bill Payment,2094.3,43.0,male,Warri,Postpaid,3787.6,93.11,64.0,Daily,Completed
2023-09-04 17:47:36,9mobile,Airtime Purchase,852.31,66.0,male,Owerri,Prepaid,854.4,243.0,24.0,Daily,Completed
2023-10-20 00:23:09,Glo,Airtime Purchase,11084.3,41.0,female,Awka,Postpaid,4798.22,185.0,41.0,Daily,Completed
2023-11-07 15:41:48,Airtel,Bill Payment,13332.54,28.0,female,Makurdi,Prepaid,2546.6,264.97,15.0,Daily,Pending
2023-11-24 13:19:01,MTN,Data Purchase,10220.0,35.0,female,Jos,Postpaid,2712.63,78.0,20.0,Daily,Failed
2024-05-18 04:40:34,MTN,Bill Payment,2451.62,21.0,other,Maiduguri,Postpaid,564.26,156.0,76.0,Weekly,Pending
2024-02-10 00:54:00,9mobile,Data Purchase,10989.0,28.0,female,Asaba,Postpaid,3177.0,108.2,39.0,Daily,Pending
2023-12-11 20:24:06,MTN,Data Purchase,18565.0,48.0,male,Abuja,Postpaid,475.8,277.09,39.0,Weekly,Failed
2024-07-25 19:58:19,Glo,Bill Payment,1149.0,64.0,female,Calabar,Prepaid,2903.2,99.43,93.0,Daily,Pending
2023-08-04 13:56:51,Glo,Bill Payment,19633.0,39.0,female,Uyo,Prepaid,4395.21,30.0,11.0,Daily,Pending
2024-03-28 07:00:43,Glo,Bill Payment,10339.0,25.0,other,Sokoto,Prepaid,4259.16,5.0,96.0,Daily,Failed
2024-07-18 19:33:24,9mobile,Airtime Purchase,10060.7,57.0,female,Awka,Prepaid,2900.7,247.59,93.0,Daily,Pending
1982-08-20 01:27:54,MTN,Bill Payment,16224.93,48.0,male,Makurdi,Prepaid,2952.35,44.0,24.0,Monthly,Failed
2023-08-23 15:58:39,MTN,Bill Payment,6942.84,24.0,female,Ibadan,Prepaid,3082.0,213.27,21.0,Weekly,Pending
2024-03-21 08:51:58,Glo,Bill Payment,1288.0,62.0,female,Onitsha,Postpaid,2037.52,147.48,50.0,Monthly,Completed
2023-10-06 03:28:29,9mobile,Airtime Purchase,1898.4,39.0,female,Onitsha,Postpaid,4746.88,54.14,18.0,Daily,Failed
2024-02-02 18:13:05,9mobile,Airtime Purchase,2309.0,68.0,other,Enugu,Postpaid,3748.0,56.9,82.0,Monthly,Completed
2024-03-03 10:56:35,MTN,Bill Payment,16032.0,19.0,male,Awka,Prepaid,3550.02,288.39,2.0,Monthly,Failed
2023-09-15 19:48:27,9mobile,Bill Payment,4378.95,28.0,male,Maiduguri,Postpaid,2732.9,110.6,81.0,Weekly,Failed
2009-06-19 00:43:54,Airtel,Data Purchase,6937.43,18.0,male,Aba,Prepaid,2546.77,248.64,46.0,Weekly,Failed
2024-03-16 21:30:08,MTN,Airtime Purchase,1679.4,61.0,female,Uyo,Postpaid,1798.0,211.35,18.0,Daily,Failed
2023-11-22 22:01:02,MTN,Data Purchase,10534.7,70.0,male,Abeokuta,Prepaid,3856.95,229.6,23.0,Weekly,Failed
2024-03-24 15:35:01,MTN,Data Purchase,9841.26,26.0,male,Akure,Postpaid,770.1,27.77,9.0,Weekly,Completed
2023-09-26 01:16:08,Airtel,Bill Payment,8791.0,50.0,male,Makurdi,Prepaid,3704.5,0.4,29.0,Daily,Failed
1977-08-31 06:57:34,MTN,Airtime Purchase,11776.7,44.0,other,Kano,Prepaid,978.0,210.21,87.0,Daily,Pending
2024-05-09 23:46:01,Airtel,Bill Payment,19079.5,65.0,female,Benin City,Prepaid,2755.0,292.64,62.0,Monthly,Completed
1999-11-22 16:54:59,Glo,Airtime Purchase,18651.17,28.0,female,Awka,Prepaid,2159.87,153.17,40.0,Monthly,Completed
2024-03-10 03:56:14,Airtel,Airtime Purchase,18220.04,63.0,female,Uyo,Postpaid,2197.0,105.7,27.0,Weekly,Completed
2023-12-20 22:38:07,MTN,Airtime Purchase,19868.2,65.0,male,Zaria,Postpaid,4413.9,37.3,27.0,Weekly,Completed
2023-08-29 20:37:25,9mobile,Airtime Purchase,915.0,67.0,female,Calabar,Prepaid,3173.0,165.7,1.0,Monthly,Pending
2023-08-27 14:35:43,Glo,Data Purchase,16095.0,66.0,other,Asaba,Prepaid,841.19,289.2,84.0,Daily,Failed
2023-12-25 04:28:05,Glo,Airtime Purchase,2877.91,60.0,female,Zaria,Prepaid,2382.83,21.64,33.0,Weekly,Failed
2024-04-29 18:52:44,MTN,Bill Payment,1611.53,54.0,other,Bauchi,Prepaid,2191.1,298.1,50.0,Daily,Pending
1984-09-08 02:37:20,9mobile,Data Purchase,5665.0,20.0,female,Calabar,Postpaid,1983.3,39.85,52.0,Monthly,Completed
2023-08-08 05:26:40,Glo,Airtime Purchase,17021.36,54.0,female,Bauchi,Prepaid,4337.0,266.94,19.0,Monthly,Pending
2007-11-09 10:47:23,9mobile,Airtime Purchase,3524.0,29.0,other,Aba,Prepaid,2531.0,92.14,3.0,Daily,Failed
2023-08-19 08:20:39,Glo,Data Purchase,17595.22,27.0,male,Akure,Prepaid,1107.6,89.0,10.0,Daily,Failed
2024-04-13 15:52:17,9mobile,Airtime Purchase,15637.0,36.0,other,Warri,Prepaid,4035.4,48.91,22.0,Weekly,Completed
2024-03-27 21:37:18,MTN,Bill Payment,5725.68,61.0,male,Kano,Prepaid,4927.62,47.71,48.0,Daily,Pending
2024-03-06 04:45:40,Glo,Airtime Purchase,19705.47,58.0,other,Enugu,Prepaid,4347.23,272.7,95.0,Monthly,Completed
2024-03-02 03:53:09,9mobile,Bill Payment,13149.0,49.0,male,Lagos,Postpaid,444.59,196.2,57.0,Weekly,Pending
2023-10-16 20:35:28,MTN,Bill Payment,14391.8,52.0,other,Port Harcourt,Prepaid,3654.3,207.54,9.0,Monthly,Completed
2024-01-04 05:42:42,9mobile,Data Purchase,6612.81,33.0,male,Uyo,Postpaid,3045.29,162.2,4.0,Weekly,Failed
1993-01-15 01:21:30,Airtel,Bill Payment,18277.8,58.0,male,Uyo,Postpaid,46.8,201.03,1.0,Daily,Failed
2024-02-07 20:07:34,Airtel,Airtime Purchase,18472.97,37.0,male,Kaduna,Prepaid,3946.0,116.51,50.0,Daily,Completed
2024-04-30 22:29:43,Glo,Data Purchase,8293.03,30.0,male,Oyo,Postpaid,1436.6,66.48,5.0,Weekly,Pending
2024-02-27 18:22:36,9mobile,Airtime Purchase,18203.73,61.0,other,Enugu,Postpaid,1231.0,90.91,78.0,Monthly,Failed
2024-04-06 23:25:16,MTN,Data Purchase,1766.64,60.0,male,Zaria,Prepaid,386.3,261.17,40.0,Daily,Failed
2011-03-29 06:03:03,Glo,Airtime Purchase,9261.32,22.0,male,Osogbo,Postpaid,2000.94,252.9,86.0,Daily,Pending
2003-01-26 10:09:34,Airtel,Airtime Purchase,10456.34,40.0,female,Osogbo,Postpaid,1386.0,64.36,4.0,Daily,Pending
2024-05-22 03:08:27,MTN,Airtime Purchase,16978.58,24.0,male,Warri,Prepaid,4059.39,270.0,73.0,Weekly,Completed
2024-07-03 20:32:51,MTN,Data Purchase,5148.09,65.0,female,Abeokuta,Prepaid,156.35,1.0,51.0,Daily,Failed
2024-07-09 21:49:37,Airtel,Data Purchase,9588.0,36.0,male,Calabar,Prepaid,2612.71,129.0,5.0,Weekly,Pending
2024-01-13 09:13:05,MTN,Data Purchase,2716.04,31.0,male,Owerri,Postpaid,1683.71,207.0,40.0,Weekly,Failed
2023-10-02 01:15:04,9mobile,Airtime Purchase,17522.96,64.0,male,Ibadan,Postpaid,4688.53,175.0,49.0,Monthly,Failed
2023-12-27 14:02:11,Glo,Data Purchase,10915.67,37.0,other,Ilorin,Prepaid,2422.95,56.38,69.0,Weekly,Failed
2023-12-20 12:31:54,Glo,Bill Payment,9546.0,61.0,male,Maiduguri,Postpaid,1056.24,181.19,29.0,Monthly,Pending
1985-10-08 13:47:07,Glo,Bill Payment,17209.7,63.0,male,Zaria,Postpaid,3087.8,160.52,70.0,Monthly,Failed
2023-09-09 16:03:42,MTN,Bill Payment,9362.1,64.0,male,Kaduna,Postpaid,2391.3,232.24,50.0,Daily,Completed
2023-11-21 19:27:45,Airtel,Data Purchase,8950.64,57.0,female,Minna,Prepaid,2898.0,112.5,36.0,Monthly,Completed
2024-03-01 02:49:49,Glo,Airtime Purchase,2516.56,57.0,female,Uyo,Prepaid,4237.01,168.0,8.0,Monthly,Completed
2024-04-13 03:30:09,Glo,Airtime Purchase,14684.3,62.0,male,Aba,Prepaid,2162.0,253.0,0.0,Weekly,Pending
2003-10-19 20:31:46,Airtel,Airtime Purchase,569.2,51.0,other,Uyo,Prepaid,61.75,133.0,55.0,Weekly,Completed
2023-11-23 18:28:01,MTN,Data Purchase,2003.0,57.0,female,Owerri,Prepaid,984.4,118.1,4.0,Daily,Failed
2023-08-04 08:18:35,MTN,Data Purchase,19103.44,23.0,other,Abuja,Postpaid,3795.0,266.53,29.0,Weekly,Completed
2024-01-03 03:47:54,MTN,Bill Payment,13656.97,47.0,male,Port Harcourt,Prepaid,1113.29,261.26,9.0,Daily,Pending
2023-09-11 18:12:29,Glo,Bill Payment,5633.28,67.0,female,Lagos,Prepaid,1729.94,106.27,77.0,Daily,Failed
2024-01-26 18:55:55,Glo,Bill Payment,3503.0,32.0,female,Gombe,Prepaid,292.1,218.15,21.0,Monthly,Completed
2023-12-14 01:14:17,9mobile,Airtime Purchase,10509.0,63.0,male,Osogbo,Postpaid,1728.0,71.83,77.0,Daily,Failed
2024-01-20 07:44:53,MTN,Airtime Purchase,1502.47,29.0,male,Maiduguri,Postpaid,1663.12,178.53,47.0,Monthly,Failed
2024-05-27 05:36:13,MTN,Airtime Purchase,8782.01,69.0,male,Abuja,Postpaid,2045.89,92.75,99.0,Monthly,Failed
2013-02-06 17:33:07,Airtel,Data Purchase,11571.51,61.0,other,Enugu,Prepaid,4543.8,142.0,65.0,Monthly,Completed
2024-01-08 04:10:11,9mobile,Bill Payment,18003.7,60.0,male,Minna,Postpaid,2358.35,86.0,94.0,Monthly,Failed
2023-12-28 05:47:55,9mobile,Airtime Purchase,16065.0,67.0,other,Lagos,Prepaid,1543.0,231.0,57.0,Weekly,Completed
2024-02-16 22:03:09,9mobile,Airtime Purchase,8414.3,69.0,female,Awka,Prepaid,4157.63,194.7,86.0,Monthly,Failed
2024-02-28 16:42:22,9mobile,Data Purchase,15828.1,28.0,male,Owerri,Postpaid,261.1,75.99,16.0,Monthly,Pending
2023-10-21 16:58:47,MTN,Airtime Purchase,10410.41,34.0,female,Abeokuta,Prepaid,3418.0,279.3,2.0,Daily,Pending
2024-07-01 03:47:22,9mobile,Airtime Purchase,8519.29,29.0,female,Kaduna,Postpaid,2498.0,41.3,2.0,Monthly,Pending
2023-11-13 14:04:52,Glo,Data Purchase,13213.06,52.0,female,Benin City,Postpaid,1622.2,215.7,85.0,Monthly,Failed
1986-06-17 08:11:47,9mobile,Data Purchase,710.75,24.0,male,Abuja,Prepaid,1052.0,38.41,91.0,Monthly,Pending
2023-10-21 18:46:30,9mobile,Airtime Purchase,11370.06,41.0,female,Jos,Prepaid,2676.34,64.11,20.0,Daily,Completed
2024-07-17 09:21:55,Airtel,Data Purchase,18421.8,58.0,male,Bauchi,Postpaid,4515.6,95.0,53.0,Daily,Pending
2023-10-31 18:31:50,9mobile,Bill Payment,17383.66,66.0,other,Bauchi,Prepaid,3594.8,92.66,59.0,Monthly,Failed
1975-05-12 10:26:46,Glo,Data Purchase,4522.0,65.0,male,Uyo,Postpaid,200.0,161.0,30.0,Monthly,Completed
2024-05-26 14:59:31,MTN,Airtime Purchase,16860.1,20.0,male,Kaduna,Prepaid,1459.3,264.25,30.0,Weekly,Completed
1988-11-27 06:01:49,Airtel,Bill Payment,8229.0,22.0,other,Abeokuta,Postpaid,4281.09,56.2,46.0,Weekly,Failed
2024-06-29 16:05:07,Glo,Airtime Purchase,5565.58,37.0,female,Osogbo,Postpaid,3573.9,280.0,43.0,Weekly,Pending
2000-09-02 09:57:20,MTN,Data Purchase,4841.19,39.0,male,Calabar,Prepaid,1794.23,66.6,93.0,Daily,Pending
2024-07-27 07:50:38,Glo,Airtime Purchase,1443.09,40.0,other,Bauchi,Postpaid,2499.1,92.34,88.0,Monthly,Failed
2024-03-16 16:57:39,MTN,Data Purchase,17486.4,30.0,female,Makurdi,Postpaid,2410.8,158.0,25.0,Weekly,Pending
2023-09-11 00:49:01,Glo,Data Purchase,12502.0,30.0,male,Port Harcourt,Postpaid,3637.84,121.0,92.0,Daily,Completed
2023-10-05 15:24:52,Glo,Airtime Purchase,280.74,42.0,female,Abuja,Postpaid,1512.0,74.91,49.0,Weekly,Pending
1990-05-09 00:55:41,Airtel,Airtime Purchase,13613.13,24.0,female,Owerri,Prepaid,99.0,173.63,3.0,Daily,Failed
2024-05-28 06:22:41,9mobile,Data Purchase,8559.6,48.0,male,Makurdi,Postpaid,1663.3,148.32,98.0,Weekly,Failed
2024-03-02 03:13:48,Glo,Airtime Purchase,13412.0,43.0,female,Bauchi,Postpaid,1649.53,31.09,29.0,Daily,Completed
2023-12-01 11:44:45,Glo,Airtime Purchase,1259.81,66.0,male,Ibadan,Prepaid,3896.0,89.21,38.0,Weekly,Completed
2023-09-21 06:14:17,9mobile,Data Purchase,1029.4,47.0,female,Abuja,Prepaid,4024.15,119.0,35.0,Weekly,Pending
2023-11-03 16:26:17,9mobile,Airtime Purchase,6799.46,56.0,male,Ilorin,Postpaid,551.8,294.39,23.0,Weekly,Completed
1998-01-03 17:49:16,Glo,Airtime Purchase,16185.0,48.0,male,Enugu,Postpaid,4819.77,249.63,85.0,Monthly,Failed
2024-01-15 01:27:24,Glo,Data Purchase,17720.0,35.0,other,Minna,Postpaid,4569.67,235.96,74.0,Daily,Pending
2024-01-12 07:07:43,9mobile,Bill Payment,12023.9,52.0,other,Owerri,Prepaid,3462.0,183.77,5.0,Daily,Failed
2024-05-09 07:29:05,9mobile,Airtime Purchase,4670.0,60.0,male,Minna,Postpaid,1308.46,121.9,73.0,Daily,Completed
2024-07-01 02:31:17,9mobile,Airtime Purchase,13089.93,68.0,female,Jalingo,Postpaid,289.0,143.89,85.0,Daily,Failed
2024-02-01 00:30:27,MTN,Airtime Purchase,3273.5,54.0,female,Maiduguri,Postpaid,4775.9,10.0,66.0,Daily,Pending
1982-03-31 10:56:48,9mobile,Airtime Purchase,3796.85,33.0,female,Minna,Prepaid,1536.7,82.0,4.0,Monthly,Completed
2017-05-24 08:29:10,Airtel,Bill Payment,3980.0,34.0,other,Awka,Postpaid,1078.64,5.68,44.0,Monthly,Failed
2023-10-06 17:37:25,9mobile,Airtime Purchase,12653.48,21.0,male,Bauchi,Postpaid,2692.55,60.2,20.0,Monthly,Failed
2023-11-08 13:40:39,9mobile,Bill Payment,5254.32,37.0,female,Kaduna,Postpaid,3616.5,4.6,36.0,Monthly,Failed
2005-11-11 01:51:38,Glo,Data Purchase,9831.0,56.0,female,Calabar,Prepaid,2983.0,7.2,93.0,Weekly,Pending
2023-08-24 23:46:39,Airtel,Airtime Purchase,9943.82,40.0,male,Owerri,Prepaid,2219.5,246.43,46.0,Weekly,Pending
2023-11-06 20:54:51,9mobile,Airtime Purchase,19652.0,24.0,other,Ilorin,Postpaid,3336.1,18.4,53.0,Monthly,Pending
2024-02-08 05:28:47,MTN,Airtime Purchase,10702.0,66.0,female,Owerri,Prepaid,253.37,14.19,43.0,Daily,Completed
1980-03-12 03:01:34,Airtel,Airtime Purchase,2487.3,33.0,other,Kano,Postpaid,4640.0,116.88,71.0,Daily,Failed
1972-06-12 20:29:44,MTN,Bill Payment,8423.45,61.0,male,Warri,Prepaid,4041.0,36.0,8.0,Daily,Completed
2024-07-26 22:24:34,Glo,Bill Payment,9091.08,56.0,male,Ibadan,Prepaid,3182.0,272.0,28.0,Weekly,Failed
2023-10-11 23:18:26,9mobile,Airtime Purchase,4526.0,26.0,male,Kaduna,Postpaid,4064.0,14.89,16.0,Daily,Completed
1981-04-06 02:28:52,Glo,Bill Payment,16560.8,58.0,male,Warri,Postpaid,4488.54,290.45,79.0,Daily,Failed
1998-09-04 04:16:59,MTN,Data Purchase,7305.46,39.0,female,Benin City,Prepaid,3385.8,82.0,43.0,Weekly,Pending
2024-02-21 22:46:47,Airtel,Airtime Purchase,461.0,33.0,male,Benin City,Prepaid,1924.09,257.35,36.0,Monthly,Pending
2024-01-19 10:53:21,Airtel,Airtime Purchase,9307.0,29.0,female,Jos,Prepaid,4897.27,174.01,96.0,Weekly,Completed
2023-12-19 03:01:12,Airtel,Data Purchase,2530.05,62.0,male,Sokoto,Prepaid,382.7,249.0,38.0,Weekly,Pending
2024-02-22 05:34:14,Glo,Bill Payment,16415.34,27.0,female,Abeokuta,Postpaid,3421.2,126.9,46.0,Weekly,Pending
2024-03-23 18:23:13,Airtel,Data Purchase,10024.5,66.0,other,Aba,Prepaid,4923.75,133.18,24.0,Weekly,Completed
2024-02-19 07:41:33,Glo,Airtime Purchase,18647.4,34.0,female,Bauchi,Prepaid,3237.89,296.01,24.0,Monthly,Completed
1977-04-11 04:46:47,MTN,Airtime Purchase,18330.11,51.0,female,Asaba,Postpaid,3208.7,234.01,57.0,Weekly,Failed
2023-11-13 04:14:41,9mobile,Data Purchase,8697.21,41.0,other,Ilorin,Prepaid,3746.36,150.4,95.0,Daily,Failed
2023-11-03 09:30:50,Glo,Airtime Purchase,864.0,50.0,male,Port Harcourt,Postpaid,546.11,178.4,57.0,Weekly,Completed
2024-06-18 11:32:07,9mobile,Bill Payment,16530.5,38.0,male,Ibadan,Postpaid,1859.8,281.78,26.0,Monthly,Failed
2009-10-23 10:22:36,Glo,Airtime Purchase,15026.43,50.0,male,Ilorin,Postpaid,2077.98,20.0,86.0,Weekly,Failed
2024-07-10 04:48:27,Airtel,Data Purchase,19156.84,68.0,other,Bauchi,Prepaid,2825.0,11.0,5.0,Monthly,Completed
2023-10-03 13:50:50,MTN,Airtime Purchase,4932.51,61.0,male,Uyo,Postpaid,1803.28,298.0,37.0,Weekly,Pending
2011-05-11 10:03:52,Glo,Bill Payment,18749.2,48.0,male,Onitsha,Postpaid,4372.24,183.39,4.0,Daily,Failed
2023-12-12 11:35:09,Airtel,Bill Payment,17510.08,28.0,male,Uyo,Prepaid,3968.57,243.51,74.0,Daily,Failed
2023-09-21 01:44:59,MTN,Bill Payment,10812.0,18.0,other,Jos,Postpaid,2750.8,186.29,49.0,Weekly,Completed
2024-03-18 05:34:56,Airtel,Bill Payment,15035.59,45.0,male,Sokoto,Postpaid,2307.9,135.4,22.0,Weekly,Failed
2024-03-13 01:01:39,Airtel,Airtime Purchase,7037.0,50.0,female,Sokoto,Postpaid,918.7,203.19,57.0,Daily,Failed
2012-11-27 08:10:19,MTN,Airtime Purchase,17300.7,59.0,female,Bauchi,Postpaid,749.39,165.0,70.0,Daily,Failed
1971-02-09 06:46:23,Airtel,Bill Payment,18881.6,42.0,female,Oyo,Prepaid,3169.0,256.0,73.0,Weekly,Failed
2024-07-22 23:35:10,Glo,Bill Payment,13995.53,44.0,female,Warri,Postpaid,39.5,156.84,75.0,Daily,Pending
2023-09-08 17:54:20,Glo,Data Purchase,4820.95,20.0,female,Asaba,Postpaid,2555.92,18.5,4.0,Monthly,Pending
2023-11-16 07:54:19,Glo,Bill Payment,8787.93,47.0,female,Kano,Prepaid,4615.5,173.22,12.0,Weekly,Failed
2019-05-26 16:30:16,MTN,Airtime Purchase,8028.22,44.0,female,Sokoto,Prepaid,2179.81,97.99,27.0,Monthly,Completed
2024-06-23 00:26:42,Glo,Bill Payment,709.79,66.0,other,Oyo,Postpaid,888.46,255.7,0.0,Monthly,Failed
2023-11-06 05:23:50,9mobile,Airtime Purchase,11388.0,43.0,male,Akure,Postpaid,3102.1,299.12,60.0,Daily,Failed
2024-06-23 08:09:37,MTN,Bill Payment,9763.48,70.0,male,Osogbo,Postpaid,4016.6,279.13,5.0,Daily,Completed
2024-05-25 21:34:29,Airtel,Bill Payment,814.0,60.0,female,Warri,Postpaid,3777.0,138.0,11.0,Daily,Completed
2024-04-24 08:10:20,MTN,Bill Payment,7643.17,51.0,female,Minna,Postpaid,3441.13,40.48,72.0,Weekly,Completed
2024-04-27 23:08:40,Airtel,Airtime Purchase,13679.0,66.0,male,Benin City,Prepaid,4684.32,232.09,45.0,Daily,Pending
1992-08-30 15:17:34,Glo,Data Purchase,8333.0,23.0,female,Makurdi,Postpaid,4604.9,276.4,41.0,Daily,Failed
2023-08-03 05:40:37,Airtel,Data Purchase,16117.1,68.0,other,Lagos,Prepaid,3091.86,142.1,96.0,Weekly,Failed
1990-02-15 18:13:57,Glo,Airtime Purchase,12342.3,66.0,male,Ibadan,Postpaid,4928.46,37.17,26.0,Weekly,Pending
1976-03-17 09:54:18,9mobile,Bill Payment,15343.89,62.0,female,Port Harcourt,Prepaid,4807.0,49.0,65.0,Weekly,Failed
2023-10-18 08:22:40,Glo,Airtime Purchase,4744.6,33.0,female,Gombe,Prepaid,1855.9,102.14,83.0,Weekly,Completed
2018-07-26 09:34:52,Glo,Airtime Purchase,2620.55,32.0,other,Minna,Postpaid,58.0,126.7,3.0,Daily,Failed
2023-12-08 00:44:52,Glo,Data Purchase,16621.7,46.0,female,Akure,Prepaid,1096.2,260.0,49.0,Daily,Pending
2024-02-09 18:26:37,Glo,Airtime Purchase,6565.26,38.0,female,Kano,Prepaid,2136.3,21.0,6.0,Monthly,Completed
2023-12-31 04:17:58,MTN,Airtime Purchase,12546.6,36.0,female,Maiduguri,Prepaid,4407.78,32.0,48.0,Weekly,Failed
2024-01-23 12:15:36,MTN,Airtime Purchase,7957.05,34.0,male,Sokoto,Prepaid,3436.2,53.49,62.0,Monthly,Pending
2023-09-24 18:33:34,9mobile,Bill Payment,1197.0,60.0,female,Lagos,Prepaid,2465.4,290.34,55.0,Daily,Completed
2024-03-30 00:41:46,9mobile,Airtime Purchase,9740.1,37.0,female,Gombe,Prepaid,4194.1,26.15,59.0,Daily,Failed
2024-07-01 20:07:24,9mobile,Airtime Purchase,4705.6,40.0,female,Jos,Prepaid,777.89,196.0,50.0,Weekly,Pending
2024-06-01 23:03:08,MTN,Bill Payment,6595.16,55.0,female,Warri,Prepaid,3757.23,156.3,35.0,Daily,Pending
2024-05-08 00:47:57,MTN,Data Purchase,7796.39,50.0,male,Ibadan,Postpaid,1304.0,251.13,15.0,Monthly,Pending
2024-01-23 09:27:25,Glo,Airtime Purchase,9827.18,52.0,other,Calabar,Prepaid,3931.65,112.97,71.0,Weekly,Completed
2014-12-19 07:25:42,Glo,Data Purchase,16103.82,33.0,male,Makurdi,Postpaid,2833.55,95.25,19.0,Weekly,Pending
2023-11-22 14:11:27,Glo,Bill Payment,7663.25,56.0,other,Owerri,Postpaid,2784.02,199.71,21.0,Weekly,Completed
2024-02-10 13:08:24,MTN,Data Purchase,1458.6,41.0,male,Ilorin,Postpaid,4613.0,169.45,35.0,Weekly,Completed
2024-06-15 12:10:37,Glo,Bill Payment,4256.0,21.0,female,Maiduguri,Prepaid,4412.0,207.0,98.0,Weekly,Failed
2024-07-27 00:12:58,Airtel,Data Purchase,5678.9,18.0,female,Enugu,Postpaid,1782.85,97.0,38.0,Monthly,Pending
2024-01-15 19:33:39,9mobile,Bill Payment,9820.32,27.0,other,Jos,Prepaid,2991.69,127.72,93.0,Monthly,Completed
2023-10-10 14:00:33,9mobile,Airtime Purchase,6344.76,49.0,female,Abeokuta,Prepaid,4058.0,298.0,66.0,Monthly,Failed
2023-09-21 22:06:42,Glo,Airtime Purchase,14126.74,22.0,female,Abeokuta,Prepaid,448.0,44.85,34.0,Monthly,Completed
2024-05-20 12:24:02,9mobile,Bill Payment,6858.62,52.0,male,Maiduguri,Prepaid,4413.12,26.7,60.0,Weekly,Pending
2024-02-20 15:01:58,Airtel,Airtime Purchase,1975.72,35.0,female,Abuja,Prepaid,4374.91,61.0,15.0,Daily,Completed
2024-03-01 12:36:13,Glo,Bill Payment,14534.0,23.0,female,Makurdi,Postpaid,2183.9,20.65,60.0,Weekly,Pending
